File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\001_Семен.json,473CC3C845976D64376ECC9AEF7F602E,"В глаза ударил яркий дневной свет.""(важное)","""不久，突然感觉阳光刺着我的眼。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\002_Семен.json,B6AFEB6A4DF8103BD1C900A7FCE604A6,"""Сначала я не обратил на это внимания, так как ещё не до конца проснулся.""(важное)","""我刚开始并没有注意，以为只是还没有睡醒罢了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\004_Семен.json,201C64694383651E596F409FF698D6D1,"Семён - ""Чёрт, похоже, проспал остановку!""(важное)","谢苗 - ""糟糕，我好像坐过站了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\006_Семен.json,AC74C21C4034E6B623522EB1A69BFF0C,"""Я оглядел автобус и понял, что это не привычный мне потрёпанный, видавший виды ЛиАЗ, а самый настоящий Икарус!""(важное)","""我环顾四周，发现这辆车不再是一辆破旧的LiAZ，而是变成了Icarus还是全新的！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\007_Семен.json,B038BB4848FBC510BA3F6E8B8CFF01EB,"""Меня сковал ужас.""(важное)","""我震惊了...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\008_Семен.json,C32A9DE24C0E311B62FC1D859F79B24E,"Мысли - ""Как?..(важное)","内心 - ""这是？...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\009_Семен.json,C52367AF4C01AF62D0E0BA95C7FC1013,Что?..(важное),怎么回事？...(важное)
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\010_Семен.json,518816424553EC7DE7CCFC9EDF76340C,"Я умер?..""(важное)","难道这里是死后的世界？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\011_Семен.json,4B0302CA43EE016C494DEBB0E8FE0683,"Мысли - ""Меня похитили?""(важное)","内心 - ""还是说我被绑架了？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\012_Семен.json,F2F458434503A628D2FDF89BF7579D62,"Мысли - ""Нет, точно умер...""(важное)","内心 - ""不对，我肯定是死了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\013_Семен.json,7220BB0D4C83560AC85A3780BB69F772,"""Я лихорадочно ощупал своё тело, несколько раз больно ударил ладонями по щекам, сильно приложился лбом о спинку кресла...""(важное)","""我疯狂的抽自己嘴巴，然后以头抢地...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\014_Семен.json,79F957A144C1F78496B4D59D314D732F,"Мысли - ""Ясно: либо я всё ещё жив, либо на том свете тоже чувствуешь боль.""(важное)","内心 - ""这下清楚了：要么我还活着，要么人死了之后还有知觉。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\015_Семен.json,08C564EC46A5CD81F03A319CA166CA1F,"Мысли - ""Но как такое могло произойти?!""(важное)","内心 - ""可这到底是怎么回事？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\016_Семен.json,33BE25D84005A5B39A53A384B638FE11,"Мысли - ""Может быть, я спал слишком долго и меня увезли в депо?""(важное)","内心 - ""也许我睡的时间太长了，车已经到了停车场？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\017_Семен.json,CEC1A2A145E1396877BAF780DE769C64,"Мысли - ""И потом что, пересадили на другой автобус?..""(важное)","内心 - ""然后呢，他们把我扛到另一辆车里接着睡？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\018_Семен.json,A2440FD54DA18EFE63C0CCBD4723CD03,"""Я выскочил на улицу и огляделся.""(важное)","""我急忙出去打算观察一下周围的环境。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\019_Семен.json,DD29D61C40CECAD8CFA4A9A5E9E82956,"""Везде, куда ни глянь, бушевала зелень: высокая трава на обочине дороги, деревья, цветы…""(важное)","""到处是绿色的植被：路旁高高的草丛，树林，野花。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\020_Семен.json,3AF3231F469BD15683003B8BD13AB04B,"Только что была зима…""(важное)","刚才分明还是冬天...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\021_Семен.json,D547BE8E42C5E82450F8D694B19C1094,Лето!(важное),现在却是夏天！(важное)
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\022_Семен.json,62D57BD84E47041C27A3BCB13583BF72,Но как же так?!(важное),这究竟怎么回事？！(важное)
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\023_Семен.json,E42CBADA43E84C23EA5C20BC70B770C6,Нестерпимо болела голова.(важное),"""我的头疼的要命，(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\024_Семен.json,19FA49134621537C0687A2817F9748A5,"Как будто готовая взорваться.""(важное)","好像要爆炸了一样。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\025_Семен.json,A6544A6D4049276CAFBDA2BACC7996AC,"""Постепенно я начал вспоминать.""(важное)","""慢慢的，我开始想起一些片段。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\026_Семен.json,587DF05B4B2ED136CBD1B09EC9E72E34,"""Длинная дорога, уносящаяся вдаль, леса, степи, поля, озёра, вновь леса.""(важное)","""消失在远方的公路；森林，平原，田野，湖水，接着还是森林。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\027_Семен.json,DCF1322F4F825CA659F96081A4AD0501,"Мысли - ""Кажется, я спал, но почему тогда всё помню сейчас?""(важное)","内心 - ""我觉得我是在睡觉，那我怎么会记得这些事情？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\028_Семен.json,C7562FD348233931F842B2B489DDC93E,"""А потом…(важное)","""然后是...一条裂缝...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\029_Семен.json,F35F2EA9443271D52C66BFA4D022C0E8,"провал...""(важное)","""然后是...一条裂缝...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\030_Семен.json,01B87B4D468ADA71DE9DB2811605E1BF,"""Какая-то девушка склонилась надо мной.""(важное)","""有哪个女孩靠过来。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\031_Семен.json,65D4AAF447F211C2D29669A27C59ADF8,"""Она нежно нашёптывает что-то мне на ухо.""(важное)","""她在我耳边轻声细语。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\032_Семен.json,A2067F43414384BEC581EFBB28CD3AB0,"""Потом опять провал...""(важное)","""然后又是一道裂缝...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\033_Семен.json,C38B0E124B9ADBEB3F4F058F205C9103,"""И я очнулся здесь.""(важное)","""然后我醒来就到了这里。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\034_Семен.json,8B7A51AC4D0BA807DB4E0FBD4491D2CE,"Мысли - ""Кто же эта странная девушка?""(важное)","内心 - ""那么，那个奇怪的女孩是谁呢？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\035_Семен.json,4163EFE94AFD824A5C086A9E7820070A,"Мысли - ""Или она мне просто приснилась?""(важное)","内心 - ""或许那是个梦？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\036_Семен.json,073E409F49DCF8E7973A3FA074086C14,"""Почему-то от воспоминаний о ней мне становилось хорошо и спокойно, а изнутри поднималось приятное тепло, расходящееся по всему телу.""(важное)","""不知怎么想起她之后我的心情逐渐平静了一些，我感到内心里涌出一股暖流。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\037_Семен.json,CBF1969D4A2E5B2DA662078291A84A80,"Мысли - ""Может быть, это она привезла меня сюда?""(важное)","内心 - ""有没有可能是她把我带到了这里？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\038_Семен.json,4E770EF9493B454A7F50F6B4215B1AAE,"Мысли - ""Тогда надо её найти!""(важное)","内心 - ""我需要找到她！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\1икарус\039_Семен.json,A4529CC14B11B3CC67EE138D9EADF3EC,"Мысли - ""И лучше всего искать подальше отсюда.""(важное)","内心 - ""我必须离开这个鬼地方。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\041_Семен.json,BA7820EF4B267799A6B0BF9DEB890E8B,"Физические упражнения освежают мозг, мысли проясняются, становится легче оценивать окружающую действительность.""(важное)","""运动起来之后，头脑能变得清醒，让我能对周围的判断更加明白一些。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\043_Семен.json,18DF597A487A073930BC3EBA173D518C,"В любом случае пробежка пошла мне на пользу – страх на некоторое время отступил.""(важное)","""不过话说回来，这一通疯跑到底还是有点作用的：心中的恐惧感渐渐淡去了。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\044_Семен.json,B8A209FC4CE13B40DB0AA897492A6879,"Мысли - ""Может, я и правда сплю?..""(важное)","内心 - ""也许我真的就是在做梦？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\045_Семен.json,BCF980DF4FDE7E5DB41EB0AAE7535FC7,"""Но, вспомнив самоистязания в автобусе, я тут же отбросил эту идею.""(важное)","""不过想起来刚才在车上的自残场景，我又马上否定了这个想法。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\046_Семен.json,3EAEB4334019F1A93B776F879DE3140B,"Семён - ""Я не сплю и не умер...""(важное)","谢苗 - ""我既没有在做梦，也没有死掉...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\047_Семен.json,307271A64C6B5074EEBEB78131D7EA97,"""Вдаль уносилась узкая дорога через поле.(важное)","""一条小路穿过田野，延伸到远方。(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\048_Семен.json,384A8CB94130DB690A10A8BB8217DF9C,"а самая, из моего сна.""(важное)","这就是我一直在做的那个梦。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\049_Семен.json,7E6C24B040601CCF33A9A1ABA08C8384,"Мысли - ""Наверное, я очень далеко от дома.""(важное)","内心 - ""我现在一定离家很远。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\050_Семен.json,332492184C2A9CAAAADE1AACE3DD6CB7,"""И дело даже не в том, что вчера была зима, а сейчас – самое что ни на есть лето.""(важное)","""不只是昨天的冬天到今天的夏天的变化。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\051_Семен.json,0DE1F47F458436A61F7B249CECF7D3F7,"""Дело в окружающей природе.""(важное)","""而是整个环境的变化。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\052_Семен.json,7236F8DC4F7720F2DBC2A697DDDD165F,"Мысли - ""Конечно, летом обычно так и есть – зелено и жарко, – но тут всё какое-то не такое, как в реальной жизни.""(важное)","内心 - ""当然，夏天就是这样的：像是充满绿色生机的火炉，但是这里的一切似乎都不是完全的生命体。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\053_Семен.json,5098AEF44AA07F9336C4968F4EACC7B5,"""Словно сошедшее с картин русских пейзажистов XIX века.""(важное)","""这里的景色就像是19世纪的俄罗斯风景画。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\054_Семен.json,6F2DCCEB4B8A380D07A48BBC6A88BCE4,"""Трава – слишком уж сочная, кусты – не такие, какими должны быть кусты – пышные, сквозь них ничего не разглядеть, как кроны деревьев, ей-богу...""(важное)","""花草、灌木丛都过于茂盛了，能遮挡住后面的树林...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\055_Семен.json,439FD8D143C56B15FFCAC18952A3E3D9,"""А уж сами деревья...(важное)","""树木本身也有些奇怪...(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\056_Семен.json,ABF6982C4C32A79902302D8AC9F67BFF,"До леса было довольно далеко, но казалось, что они сомкнули свои стройные ряды и только и ждут приказа, чтобы начать наступление на поля и степи.""(важное)","树林离得很远，但是那些树好像排成了密集的队形，准备向田野这边进军。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\058_Семен.json,EBE770274E02EBFD4E4626A6475B2672,"""Неплохо пробежался...""(важное)","内心 - ""真是好一通跑...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\059_Семен.json,235130BA48AE405CC6338E94BFF02440,"""Страх накатил с новой силой.""(важное)","""恐惧再一次袭上心头。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\060_Семен.json,90620B9648B7B44A52AF248189833385,"Мысли - ""И эти ЛЭП...(важное)","内心 - ""啊，那些电线...(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\061_Семен.json,A0803FF941C59607ECC248B6C3843D67,"Значит, тут есть люди.""(важное)","也就是说这里一定有人！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\062_Семен.json,F4E4B1A44E3CB73EF7F04FA99BB2F5DF,"""Хотя что это [курсив]значит[конец]?""(важное)","""但是那又意味着什么？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\063_Семен.json,F74410154BB15998E8C444A2A3B6B397,"""Ведь ровным счётом ничего!(важное)","""话又说回来了，根本什么用都没有嘛！(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\064_Семен.json,BC796ABD4402E7A1BAD3E3A082309DDD,"Почему в аду не может быть линий электропередач?""(важное)","难道地狱里就不能有电线了吗？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\065_Семен.json,E59AB6B74FBBFCB95249E7A7AED0241A,"""Жарить грешников на угле? Прошлый век...""(важное)","""在火堆上炙烤罪人？那是上个世纪的风格...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\066_Семен.json,41FD25974D168BA2CE4A8A8C9D0B2718,"""Похоже, я дошёл до той точки невозвращения, когда надо либо уже сходить с ума, либо всё-таки пытаться понять, что происходит.""(важное)","""我已经到达了极限，接下来，要么是完全疯掉，要么是试着理解这里到底在发生什么事情。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\2леп\067_Семен.json,088307EB4C433DEDE340F6A793214C4D,"Мысли - ""И пока ещё есть возможность, стоит выбрать второй вариант!""(важное)","内心 - ""趁着现在还有选择的余地，我还是赶紧选择第二项为妙...""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\072_Семен.json,7998BE424E95905D4DD9AAB3154E9652,"Кирпичная ограда с воротами, над которыми красовалась надпись «Совёнок», по бокам – статуи пионеров, а рядом на вывеске – номер маршрута – «410».(важное)","""一座砖墙，大门上立着一块牌子写着""Совёнок""。两边是少先队员的雕塑，还有一个路牌写着410路公共汽车。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\073_Семен.json,70DC9CB34265986D17A4FEBF802B978C,"Семён - ""Сегодня рейс что-то затянулся.(важное)","谢苗 - ""今天的旅途让我疲惫不堪。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\074_Семен.json,752FD49D4BB29AD0DFEA9BAD30BFB87E,Усмехнулся я.,"""我开始傻笑起来。"""
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\077_Семен.json,E6335EC44B038411A6D2C6AA6302A163,"Место казалось совсем не заброшенным – ворота не заржавели, кладка не осыпалась.","""这个地方不像是被废弃的，大门上没有锈迹，墙面也没有损坏。"""
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\078_Семен.json,05878B0F4448FAE4E0AF2C909800C36D,"Семён - ""«Совёнок»…""(важное)","谢苗 - ""'Совёнок'…""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\079_Семен.json,B4090AD8456F6F9D48BEB59023F86BBA,Что может так называться?,"内心 - ""这是指的神马？"""
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\080_Семен.json,7DA98CA7415A6BD5C6F4B19FD8D7F85C,"Судя по статуям пионеров, наверное, детский лагерь.","内心 - ""从这两座少先队员的雕像来看，这里应该是一座夏令营。而且好像还在活动中？！"""
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\081_Семен.json,7495CCF54FA7BD38819A2AB0AC42B124,Причем лагерь действующий!,"内心 - ""从这两座少先队员的雕像来看，这里应该是一座夏令营。而且好像还在活动中？！"""
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\086_Семен.json,35416EB64DE71F91AB9B1991715B8B0E,Тут меня осенило – попробую позвонить!(важное),"""然后我突然想到：我可以试着打个电话！""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_1_день\3встреча_у_ворот_1день\088_Семен.json,ABD1A62940B6C217B5D016B40CD2A9F7,Однако вместо палочек приёма на экране горел жирный крест.(важное),"""但是手机屏幕上没有信号强度的指示，取而代之的是一个大大的叉叉。""(важное)"
