File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_001_семен.json,B1A960634B5FECE4A1161B85A18483C9,"""Я уже собирался идти на завтрак, как в дверь постучали.""(важное)","""我准备去吃早饭，这时有人敲门。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_002_семен.json,B69CA6364FBEDC643C1548AFD8BC319C," ""На пороге стояла Славя.""","""是斯拉维娅。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_003_славя.json,DEAE26FC4A4BA5E2F016F0B7978B3BBF," Славя - ""Доброе утро!","斯拉维娅 - ""早上好！"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_004_славя.json,2086E4B041A870DC3B1AAB963A8F6C24,"Славя - А Ольга Дмитриевна?..""","斯拉维娅 - ""你看到奥尔加·德米特里耶夫娜了吗？"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_005_семен.json,5913CC924D16A507D5618194811F96AC," ""Я уставился на её грудь и не мог отвести взгляд – слишком уж сильно она врезалась в память вчера.""(важное)","""我盯着她的胸部，前一天我曾经沉迷的不能自拔。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_006_славя.json,C2A7A41B495741160E5E8781584EF676," Славя - ""Семён?""","斯拉维娅 - ""谢苗?"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_007_семен.json,77E3AB9F43B4AF2073A75FBBB6FF7347," ""Славя посмотрела на меня встревоженно, но у меня никак не получалось оторвать глаза от её груди.""","""斯拉维娅担心的看着我，可是我还是无法从她的胸部上移开视线。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_008_славя.json,88028E5D48B1AF015DC9FB9ECEB40048," Славя - ""Что-то не так?""","斯拉维娅 - ""有什么问题吗？"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_009_семен.json,E813F06948B73955FE9855A82CC81BB8," Семён - ""Да нет, всё как раз так…""","谢苗 - ""正相反，一切都..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_010_славя.json,BB2F02854E91307504E5EF9FE8CE5F8F," Славя - ""Ольга Дмитриевна?..""","斯拉维娅 - ""奥尔加·德米特里耶夫娜...?"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_011_семен.json,B6FF80794DC8FD37412D90AB41F9BE87," Семён - ""Не знаю, когда проснулся, её уже не было.""","谢苗 - ""不知道，我醒过来的时候她就已经走了。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_012_семен.json,36A62F2B45B27893ED4D98A5AE07EB1E," ""Наконец мне всё-таки удалось пересилить себя.""","""我终于控制住了自己。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_013_славя.json,56C613E04FCE6EE5456F36847A205E56," Славя - ""Ладно, я ещё в одно место заскочить должна, так что увидимся на завтраке.""","斯拉维娅 - ""好吧，我还有一件事，早饭时再见吧。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_1__Если_на_третий_день_выбрал_Славю\д411_014_семен.json,41AAD27345B73287E1DAC684A5A7DE52," ""Славя улыбнулась, помахала мне рукой и убежала.""","""斯拉维娅笑着挥挥手离开了。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_001_семен.json,8DA9A4A24122075DAA61E4BC86F32D3A,"""Я уже собирался идти на завтрак, как в дверь постучали.""(важное)","""我正准备去吃早饭，这时有人敲门。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_002_семен.json,34930D28451AB8F4194C5799AE80D49D," ""На пороге стояла Лена.""","""是列娜。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_003_лена.json,6484759F42ABACC361149EB012423596," Лена - ""Доброе утро…""","列娜 - ""唔...早上好..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_004_семен.json,B2A23B5043B7193EB096319FD5633EC2," Семён - ""Доброе…""","谢苗 - ""嗯...早上好..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_005_семен.json,AD1F2F5042F43B5AF79571B87570B9F1," ""Я несколько смутился.""","""我稍微向后退。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_006_семен.json,26B707554E286BB051BC14B969DC55D3," ""События вчерашней ночи ещё стояли у меня перед глазами, но заводить о них разговор совершенно не хотелось.""","""昨天的记忆还历历在目，不过我真的不想再提了。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_007_семен.json,7D814A7743F467AA1FC9FD9D543B8F77," Семён - ""Ольгу Дмитриевну ищешь, наверное?""","谢苗 - ""你是来找奥尔加·德米特里耶夫娜的吧？"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_008_лена.json,0D2279014528968D9773289BC975B98F," Лена - ""Да нет…","列娜 - ""不..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_009_лена.json,0B9C6FCA4646F49D0BD903AE25ABECDA,"Лена - То есть да…""","列娜 - ""不对，是的..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_010_семен.json,CD0EAA5445B2BD5C2B9564BDE0B551BD," ""Лена была такой же, как и всегда, – скромной и стеснительной.""","""还是平常的那个列娜—害羞又容易不好意思。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_011_семен.json,B0D1BD5143F91E6C9DE1CDB7F02606F6," ""Казалось, что тот танец на пристани – всего лишь сон.""","""在码头上的舞蹈...现在只感觉像是一个梦。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_012_семен.json,1531A5A94658EA8F8EEF6F8252D270A4," Семён - ""А её нет.""","谢苗 - ""抱歉，她不在这里..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_013_лена.json,79E2B576409C049F868B7B8D80AEF192," Лена - ""А, ну, ладно тогда…","列娜 - ""嗯...好吧.."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_014_лена.json,B6E929D4497ECD7BF13FC398E007F402,"Лена - Я пойду.""","列娜 - ""我先走了..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_015_семен.json,EC2F003B483E05C2EC0867A9E18F39A2," Семён - ""Угу…""","谢苗 - ""唔..."""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д4_048_2__Если_на_третий_день_выбрал_Лену\д412_016_семен.json,A110C6534BFA2BE21245BA9DEBE213E7," ""Когда Лена ушла, я подумал, что встретил её слишком холодно, и при следующей встрече решил обязательно быть поприветливее.""","""她离开之后我觉得自己刚刚太冷淡了，决定下一次见面时表现的好一点。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_001_семен.json,A179372C4735277C42AFD3B3F50FE2FE,"""Я проснулся от адского звона в голове.""(важное)","""伴随着一阵地狱般的巨响，我醒了过来。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_002_семен.json,785D5A3C4C86067550CF3AB72DE832FB," ""Казалось, этот звук идёт откуда-то из глубин сознания.""(важное)","""这响声似乎来自我的意识深处。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_003_семен.json,53303FAE4A31A9FACC0A59B4CEA80413," ""Однако, несколько придя в себя, я понял, что виной всему – будильник.""","""不过等我恢复了意识之后，我发现了这响声来自我的闹钟。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_004_семен.json,41F465894DC33EFEF11F529704873F91," Мысли - ""Странно, откуда он здесь взялся и почему стоит рядом с моей кроватью?""(важное)","内心 - ""奇怪，这是从哪里来的？为什么在我的床边？""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_005_семен.json,B0B749534528EDD40AA08688FB4D3925," ""Часы показывали полвосьмого утра.""","""从表上看，现在是7点半。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_006_семен.json,4D924D524F9B4A949645B898197D1AFD," ""Ольга Дмитриевна, похоже, уже ушла, а значит, на линейку идти меня никто не заставит.""(важное)","""奥尔加·德米特里耶夫娜已经离开了，现在没有人逼着我去参加列队集合仪式。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_007_семен.json,A6F55EE04CBBA4B51C91BD92178C9071," Мысли - ""Следовательно, можно ещё поспать.""","内心 - ""所以我可以再睡一会儿。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_008_семен.json,7EB6B70F4F9E6FB63D8848A47C213408," ""Я закрыл глаза, но моё сознание уже переключилось в дневной режим – получается, пора вставать.""","""我闭上了眼睛，不过我的意识似乎已经喝完了早上的咖啡，准备迎接一天的工作了，我得起床了。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_009_семен.json,BC07896B417BF2F9BFB67091149546C9," Мысли - ""Стоит распланировать день – в конце концов, хоть сегодня необходимо что-то выяснить!""","内心 - ""我应该制定一下计划，再怎么说今天也要有点发现。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_010_семен.json,0A653B1C4E6B262ACF30A289535E711F," ""Тем не менее в голову решительно ничего не приходило.""","""不过我什么也想不出来。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_011_семен.json,241DFC344ADFBBD77AF05DB73DFBB986," Мысли - ""Надо окончательно проснуться, а заодно и заняться утренним туалетом.""(важное)","内心 - ""算了，我得起床清醒清醒。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_012_семен.json,FD3AEF774BF50CA64C2B74A65FF895E8," ""По дороге к умывальникам я встретил Женю.""","""去水房的路上我遇到了热妮娅。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_013_семен.json,00539B2A43AAE9470497E695FFA070AD," Семён - ""Чего это ты в такую рань?""","谢苗 - ""你怎么起的这么早？"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_014_женя.json,6944FE52463408F59EA9CBAF97CBF46C," Женя - ""А что такого?""","热尼娅 - ""起得早有什么问题吗？"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_015_семен.json,D71B819E4735A47FF3A299814E313DE0," ""Она посмотрела на меня так, как будто я её чем-то обидел.""","""她像是受到了侮辱一样看着我。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_016_семен.json,A3D6D5964852175A8A16D6BF7E5EDA0D," Семён - ""Ничего, просто спросил.""","谢苗 - ""没有，没什么，只是好奇。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_017_женя.json,B651DFD447C524A33E1662A9738BB4B9," Женя - ""Вот и иди куда шёл!""","热尼娅 - ""这不关你的事！"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_018_семен.json,010E529D48AB86EF5CCEAAB1541D4068," ""Конечно, Женя и в лучшем настроении не очень приветлива, но сегодня она казалась чересчур озлобленной.""","""呃，热妮娅即使是心情好的时候也不怎么友好，况且今天她很愤怒。"""
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_019_семен.json,8E163ACE4DB45BAF3A6CD298BB5126F4," ""Холодная вода немного взбодрила меня, туман в голове рассеялся, а мысли начали потихоньку вставать на места.""(важное)","""冷水让我振作起来，我头脑中的迷雾逐渐散开，让我重新组织思考。""(важное)"
Everlasting_summer\Content\main\звуки\озвучка_4_день\01_1__Утро_Славя_и_Лена\д41_020_семен.json,AC9F1A0F4343F8C757D2EFB729B86BF9," ""Однако меня всё равно больше волновал не поиск ответов, а то, как бы за завтраком занять место получше.""","""奇怪的是，比起担心找到我的那些答案，我更担心的是在食堂找到一个好位置。"""
