File,Key,CultureInvariantString,Translation
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_001_семен.json,BBFF34944D50BA3A1A33010ACB8BA6CD,Мы бежали… Бежали из последних сил…,"""我们用尽了力气跑着..."""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_002_семен.json,1AC2EB664D50BA3A1A33010ACB8BA6CD,Так бежит человек отчаянно цепляющийся за жизнь,"""就像是在拯救自己宝贵的生命一样。"""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_003_семен.json,05D966804D50BA3A1A33010ACB8BA6CD,Обречённый человек который знает что ему уже не спастись но всё равно борется с неизбежным с судьбой,"""就像是一个即将毁灭的人，即使知道自己死路一条，仍旧为了自己的命运而战..."""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_004_семен.json,F8567FA74D50BA3A1A33010ACB8BA6CD,Я с трудом закрыл за собой тяжёлую металлическую дверь,"""我用力地关上了身后的金属大门。"""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_005_семен.json,E88542B44D50BA3A1A33010ACB8BA6CD,Не знаю насколько глубоко это бомбоубежище и способно ли оно выдержать ядерный взрыв но сейчас нам больше негде спастись…,"""我完全不知道这是在多深的地方，这个防空洞能不能经受住核弹的打击，不过我们没有其他的地方可以躲了..."""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_006_семен.json,BAD0D6BB4D50BA3A1A33010ACB8BA6CD,Она крепко сжала мою руку,"""她紧紧地握着我的手。"""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_007_семен.json,521F154E43A63A35E5ED8E8780595BE3,Семён - Не бойся…,"谢苗 - ""别害怕..."""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_009_семен.json,4B28CB7B4D50BA3A1A33010ACB8BA6CD,С потолка сыпалась штукатурка стены тряслись,"""房顶不停地掉落着碎片，墙壁不住地颤抖。"""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_010_семен.json,E5600F1E4D50BA3A1A33010ACB8BA6CD,Я приготовился к худшему,"""我已经做好了最坏的打算。"""
Everlasting_summer\Content\main\звуки\озвучка_5_день\01_кошмар\д5_011_семен.json,29CCA8514D50BA3A1A33010ACB8BA6CD,Хотя смерть  это такая вещь к которой никогда нельзя быть готовым…,"""不过你是永远不可能准备好死亡的..."""
